ticker,reason,fetched_at
ADAP,"no quoteType",2026-05-04T00:03:56+00:00
AIGpA,"no quoteType",2026-05-04T00:04:31+00:00
AKRO,"no quoteType",2026-05-04T00:04:45+00:00
ALLK,"no quoteType",2026-05-04T00:04:59+00:00
ALRpB,"no quoteType",2026-05-04T00:05:05+00:00
ALTR,"no quoteType",2026-05-04T00:05:07+00:00
AMBC,"no quoteType",2026-05-04T00:05:13+00:00
AMED,"no quoteType",2026-05-04T00:05:17+00:00
AMRK,"no quoteType",2026-05-04T00:05:27+00:00
ANSS,"no quoteType",2026-05-04T00:05:42+00:00
APLT,"no quoteType",2026-05-04T00:05:55+00:00
ARMN,"no quoteType",2026-05-04T00:06:24+00:00
ATGE,"no quoteType",2026-05-04T00:06:49+00:00
ATSG,"no quoteType",2026-05-04T00:06:59+00:00
AVDX,"no quoteType",2026-05-04T00:07:06+00:00
AVYA,"no quoteType",2026-05-04T00:07:15+00:00
AXDX,"no quoteType",2026-05-04T00:07:20+00:00
AXL,"no quoteType",2026-05-04T00:07:21+00:00
AZPN,"no quoteType",2026-05-04T00:07:30+00:00
AZUL,"no quoteType",2026-05-04T00:07:31+00:00
BAC.WS.A,"no quoteType",2026-05-04T00:07:36+00:00
BASE,"no quoteType",2026-05-04T00:07:43+00:00
BGFV,"no quoteType",2026-05-04T00:08:11+00:00
BIG,"no quoteType",2026-05-04T00:08:19+00:00
BIOL,"no quoteType",2026-05-04T00:08:22+00:00
BLBX,"no quoteType",2026-05-04T00:08:39+00:00
BLUE,"no quoteType",2026-05-04T00:08:47+00:00
BRDG,"no quoteType",2026-05-04T00:09:07+00:00
BRFS,"no quoteType",2026-05-04T00:09:07+00:00
BSGM,"no quoteType",2026-05-04T00:09:15+00:00
CADE,"no quoteType",2026-05-04T00:09:45+00:00
CARA,"no quoteType",2026-05-04T00:09:56+00:00
CASI,"no quoteType",2026-05-04T00:10:01+00:00
CBD,"no quoteType",2026-05-04T00:10:08+00:00
CDTX,"no quoteType",2026-05-04T00:10:28+00:00
CDXC,"no quoteType",2026-05-04T00:10:29+00:00
CHX,"no quoteType",2026-05-04T00:11:05+00:00
CIO,"no quoteType",2026-05-04T00:11:07+00:00
CIVI,"no quoteType",2026-05-04T00:11:10+00:00
CMA,"no quoteType",2026-05-04T00:11:30+00:00
CMPO,"no quoteType",2026-05-04T00:11:38+00:00
COG,"no quoteType",2026-05-04T00:11:57+00:00
CONN,"no quoteType",2026-05-04T00:12:07+00:00
CSWI,"no quoteType",2026-05-04T00:12:56+00:00
CWEN.A,"no quoteType",2026-05-04T00:13:24+00:00
CYBR,"no quoteType",2026-05-04T00:13:29+00:00
DESP,"no quoteType",2026-05-04T00:14:07+00:00
DHRpA,"no quoteType",2026-05-04T00:14:17+00:00
DHRpB,"no quoteType",2026-05-04T00:14:18+00:00
DOOO,"no quoteType",2026-05-04T00:14:39+00:00
DVAX,"no quoteType",2026-05-04T00:15:12+00:00
EBR,"no quoteType",2026-05-04T00:15:23+00:00
EIGR,"no quoteType",2026-05-04T00:15:46+00:00
ELP,"no quoteType",2026-05-04T00:15:52+00:00
EMKR,"no quoteType",2026-05-04T00:15:53+00:00
ERJ,"no quoteType",2026-05-04T00:16:20+00:00
EVA,"no quoteType",2026-05-04T00:16:42+00:00
EVRI,"no quoteType",2026-05-04T00:16:46+00:00
FARO,"no quoteType",2026-05-04T00:17:06+00:00
FGEN,"no quoteType",2026-05-04T00:17:27+00:00
FMCIW,"no quoteType",2026-05-04T00:17:49+00:00
FREY,"no quoteType",2026-05-04T00:18:07+00:00
FTCH,"no quoteType",2026-05-04T00:18:17+00:00
GB,"no quoteType",2026-05-04T00:18:35+00:00
GCI,"no quoteType",2026-05-04T00:18:39+00:00
GDP,"no quoteType",2026-05-04T00:18:44+00:00
GENE,"no quoteType",2026-05-04T00:18:50+00:00
GES,"no quoteType",2026-05-04T00:18:53+00:00
GLYC,"no quoteType",2026-05-04T00:19:16+00:00
GM.WS.B,"no quoteType",2026-05-04T00:19:17+00:00
GOGL,"no quoteType",2026-05-04T00:19:28+00:00
GPL,"no quoteType",2026-05-04T00:19:34+00:00
GTT,"no quoteType",2026-05-04T00:19:58+00:00
HAWKB,"no quoteType",2026-05-04T00:20:12+00:00
HEES,"no quoteType",2026-05-04T00:20:22+00:00
HES,"no quoteType",2026-05-04T00:20:26+00:00
HMST,"no quoteType",2026-05-04T00:20:47+00:00
HOME,"no quoteType",2026-05-04T00:20:56+00:00
HSC,"no quoteType",2026-05-04T00:21:11+00:00
HSII,"no quoteType",2026-05-04T00:21:12+00:00
IDEX,"no quoteType",2026-05-04T00:21:46+00:00
IGMS,"no quoteType",2026-05-04T00:21:58+00:00
IMAB,"no quoteType",2026-05-04T00:22:09+00:00
INFA,"no quoteType",2026-05-04T00:22:22+00:00
INFN,"no quoteType",2026-05-04T00:22:23+00:00
IO,"no quoteType",2026-05-04T00:22:39+00:00
IPG,"no quoteType",2026-05-04T00:22:47+00:00
IRBT,"no quoteType",2026-05-04T00:22:53+00:00
ITCI,"no quoteType",2026-05-04T00:23:05+00:00
JP,"no quoteType",2026-05-04T00:23:29+00:00
JWN,"no quoteType",2026-05-04T00:23:33+00:00
K,"no quoteType",2026-05-04T00:23:36+00:00
KIRK,"no quoteType",2026-05-04T00:23:52+00:00
KLG,"no quoteType",2026-05-04T00:23:56+00:00
LAZY,"no quoteType",2026-05-04T00:24:36+00:00
LCI,"no quoteType",2026-05-04T00:24:42+00:00
LL,"no quoteType",2026-05-04T00:25:04+00:00
LTRPA,"no quoteType",2026-05-04T00:25:34+00:00
MAG,"no quoteType",2026-05-04T00:25:47+00:00
ML,"no quoteType",2026-05-04T00:26:46+00:00
MNK,"no quoteType",2026-05-04T00:26:57+00:00
MNMD,"no quoteType",2026-05-04T00:26:58+00:00
MODG,"no quoteType",2026-05-04T00:27:04+00:00
MOGO,"no quoteType",2026-05-04T00:27:06+00:00
MRC,"no quoteType",2026-05-04T00:27:15+00:00
MRIN,"no quoteType",2026-05-04T00:27:17+00:00
MRNS,"no quoteType",2026-05-04T00:27:19+00:00
MTCN,"no quoteType",2026-05-04T00:27:35+00:00
MTL,"no quoteType",2026-05-04T00:27:39+00:00
NAOV,"no quoteType",2026-05-04T00:28:04+00:00
NEPT,"no quoteType",2026-05-04T00:28:20+00:00
NEX,"no quoteType",2026-05-04T00:28:26+00:00
NISN,"no quoteType",2026-05-04T00:28:38+00:00
NOVA,"no quoteType",2026-05-04T00:28:52+00:00
NSTG,"no quoteType",2026-05-04T00:29:06+00:00
NTP,"no quoteType",2026-05-04T00:29:12+00:00
NUKK,"no quoteType",2026-05-04T00:29:17+00:00
NVEE,"no quoteType",2026-05-04T00:29:23+00:00
NVRO,"no quoteType",2026-05-04T00:29:26+00:00
ODP,"no quoteType",2026-05-04T00:29:43+00:00
OLO,"no quoteType",2026-05-04T00:29:57+00:00
OMI,"no quoteType",2026-05-04T00:30:01+00:00
ONVO,"no quoteType",2026-05-04T00:30:06+00:00
OSTK,"no quoteType",2026-05-04T00:30:21+00:00
OXY.WS,"no quoteType",2026-05-04T00:30:29+00:00
PBR.A,"no quoteType",2026-05-04T00:30:49+00:00
PEI,"no quoteType",2026-05-04T00:31:05+00:00
PLL,"no quoteType",2026-05-04T00:31:40+00:00
POL,"no quoteType",2026-05-04T00:31:54+00:00
PPBI,"no quoteType",2026-05-04T00:31:59+00:00
PRO,"no quoteType",2026-05-04T00:32:13+00:00
PRTY,"no quoteType",2026-05-04T00:32:18+00:00
PTVE,"no quoteType",2026-05-04T00:32:35+00:00
PX,"no quoteType",2026-05-04T00:32:43+00:00
QBTS.WS,"no quoteType",2026-05-04T00:32:47+00:00
QSG,"no quoteType",2026-05-04T00:32:58+00:00
RAD,"no quoteType",2026-05-04T00:33:07+00:00
RDUS,"no quoteType",2026-05-04T00:33:30+00:00
REVG,"no quoteType",2026-05-04T00:33:43+00:00
RGLS,"no quoteType",2026-05-04T00:33:50+00:00
RHE,"no quoteType",2026-05-04T00:33:55+00:00
RTLR,"no quoteType",2026-05-04T00:34:31+00:00
RYI,"no quoteType",2026-05-04T00:34:44+00:00
SAVE,"no quoteType",2026-05-04T00:34:58+00:00
SCS,"no quoteType",2026-05-04T00:35:14+00:00
SCU,"no quoteType",2026-05-04T00:35:17+00:00
